소스책,소스KDC,소스대분류,연관책,연관ISBN,연관KDC,연관대분류,연관class_nm,함께대출순위,교차,보편도df,IDF가중
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,9791162540640,1,철학,철학 > 심리학 > 각론,7,True,2,2.70805020110221
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,8,True,11,1.0033021088637848
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,(EBS 다큐프라임) 자본주의,9788957365793,3,사회과학,사회과학 > 경제학 > 경제정책,9,False,1,3.4011973816621555
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법,9788994702346,3,사회과학,사회과학 > 경제학 > 금융,10,False,1,3.4011973816621555
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,4,자연과학,흔한남매,9791164137527,8,문학,문학 > 한국문학 > 한국문학,9,True,5,1.791759469228055
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,4,자연과학,흔한남매,9791168411685,8,문학,문학 > 한국문학 > 한국문학,10,True,5,1.791759469228055
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,아버지의 해방일지 :정지아 장편소설,9788936438838,8,문학,문학 > 한국문학 > 소설,1,True,8,1.3217558399823195
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,모순 :양귀자 장편소설,9788998441012,8,문학,문학 > 한국문학 > 소설,2,True,1,3.4011973816621555
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,홍학의 자리 :정해연 장편소설,9788954681155,8,문학,문학 > 한국문학 > 소설,3,True,1,3.4011973816621555
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,지구 끝의 온실 :김초엽 장편소설,9791191824001,8,문학,문학 > 한국문학 > 소설,4,True,1,3.4011973816621555
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,밝은 밤 :최은영 장편소설,9788954681179,8,문학,문학 > 한국문학 > 소설,5,True,3,2.302585092994046
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,작별하지 않는다 :한강 장편소설,9788954682152,8,문학,문학 > 한국문학 > 소설,6,True,6,1.6094379124341003
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,7,True,11,1.0033021088637848
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,이처럼 사소한 것들 :클레어 키건 소설,9791130646381,8,문학,문학 > 영미문학 > 소설,8,True,3,2.302585092994046
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,소년이 온다 :한강 장편소설,9788936434120,8,문학,문학 > 한국문학 > 소설,9,True,6,1.6094379124341003
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,천 개의 파랑 :천선란 장편소설,9791190090261,8,문학,문학 > 한국문학 > 소설,10,True,1,3.4011973816621555
흔한남매 과학 탐험대,4,자연과학,흔한남매 과학 탐험대 3 : 인체,9788934983439,,미상,,2,False,1,3.4011973816621555
흔한남매 과학 탐험대,4,자연과학,흔한남매 과학 탐험대 4 : 물질,9788934930549,,미상,,3,False,1,3.4011973816621555
흔한남매 과학 탐험대,4,자연과학,흔한남매 과학 탐험대 5 : 물리 1,9788934940753,,미상,,4,False,1,3.4011973816621555
흔한남매 과학 탐험대,4,자연과학,흔한남매 과학 탐험대 6 : 물리 2,9788934946793,,미상,,5,False,1,3.4011973816621555
흔한남매 과학 탐험대,4,자연과학,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,9791164136032,4,자연과학,자연과학 > 자연과학 > 자연과학,8,False,2,2.70805020110221
흔한남매 과학 탐험대,4,자연과학,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,9791164137121,4,자연과학,자연과학 > 자연과학 > 자연과학,9,False,2,2.70805020110221
흔한남매 과학 탐험대,4,자연과학,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,9791164137923,4,자연과학,자연과학 > 자연과학 > 자연과학,10,False,2,2.70805020110221
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,나는 오늘도 너에게 화를 냈다 :엄마들의 고민을 명쾌하게 풀어낸 아홉 가지 현실 육아 솔루션,9788952242433,5,기술과학,기술과학 > 가정학 및 가정생활 > 육아,1,False,1,3.4011973816621555
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,아들 때문에 미쳐버릴 것 같은 엄마들에게 :큰 소리 내지 않고 아이를 키우는 법,9788952234650,5,기술과학,기술과학 > 가정학 및 가정생활 > 육아,2,False,1,3.4011973816621555
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,조선미의 현실 육아 상담소,9791164052035,5,기술과학,기술과학 > 가정학 및 가정생활 > 육아,3,False,1,3.4011973816621555
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,아들의 뇌 =딸로 태어난 엄마들을 위한 아들 사용 설명서 /Son's brain,9791191347456,5,기술과학,기술과학 > 가정학 및 가정생활 > 육아,4,False,1,3.4011973816621555
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,5,True,11,1.0033021088637848
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이",9788950941819,5,기술과학,기술과학 > 가정학 및 가정생활 > 육아,6,False,1,3.4011973816621555
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,(좌절내구력 강한 아이로 키우는) 조선미의 초등생활 상담소,9791164052356,5,기술과학,기술과학 > 가정학 및 가정생활 > 육아,7,False,1,3.4011973816621555
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,고양이 해결사 깜냥,9788936447694,8,문학,문학 > 한국문학 > 소설,8,True,1,3.4011973816621555
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,9788934965404,3,사회과학,사회과학 > 교육학 > 유아 및 초등교육,9,True,1,3.4011973816621555
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,꽁꽁꽁 캠핑 :윤정주 그림책,9791158364120,8,문학,문학 > 한국문학 > 소설,10,True,1,3.4011973816621555
의사 어벤저스 :어린이 의학 동화,5,기술과학,어린 왕자,9788957361955,8,문학,문학 > 프랑스문학 > 소설,1,True,1,3.4011973816621555
(흔한남매) 별난 방탈출 :탈출 미션 스토리북,6,예술,흔한남매,9791164138197,8,문학,문학 > 한국문학 > 한국문학,5,True,5,1.791759469228055
(흔한남매) 별난 방탈출 :탈출 미션 스토리북,6,예술,흔한남매,9791164135592,8,문학,문학 > 한국문학 > 한국문학,6,True,5,1.791759469228055
(흔한남매) 별난 방탈출 :탈출 미션 스토리북,6,예술,흔한남매,9791164134267,8,문학,문학 > 한국문학 > 한국문학,7,True,5,1.791759469228055
(흔한남매) 별난 방탈출 :탈출 미션 스토리북,6,예술,흔한남매,9791164137527,8,문학,문학 > 한국문학 > 한국문학,8,True,5,1.791759469228055
(흔한남매) 별난 방탈출 :탈출 미션 스토리북,6,예술,흔한남매,9791168411685,8,문학,문학 > 한국문학 > 한국문학,9,True,5,1.791759469228055
