책A,책B,대분류A,대분류B,교차,엣지종류수,상호,순위강도합,IDF_A,IDF_B,보편도penalty,최종굵기,같은시리즈,ISBN_A,ISBN_B
흰 :한강 소설,작별하지 않는다 :한강 장편소설,문학,문학,False,2,False,1.5,0.843,0.322,0.322,0.483,False,9788954651134,9788954682152
타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,나는 4시간만 일한다 :디지털 노마드 시대 완전히 새로운 삶의 방식,사회과학,사회과학,False,1,False,0.7,0.686,0.843,0.686,0.48,False,9791158510619,9791185584454
흔한남매,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,문학,예술,True,1,False,0.7,0.686,1.0,0.686,0.48,False,9791164134267,9791190007320
국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",사회과학,기술과학,True,2,False,0.7,0.686,1.0,0.686,0.48,False,9788934965404,9791168127531
만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,보이지 않는 것에 의미가 있다 :영화가 묻고 심리학이 답하다,철학,철학,False,1,False,0.7,0.686,1.0,0.686,0.48,False,9791190538510,9791191393460
만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,철학,문학,True,2,False,1.0,0.686,0.479,0.479,0.479,False,9791190538510,9791191891287
내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",종교,자연과학,True,1,False,0.9,1.0,0.529,0.529,0.476,False,9791130689890,9791189327156
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,흔한남매,총류,문학,True,1,False,0.9,1.0,0.529,0.529,0.476,False,9788934951278,9791164138197
박곰희 연금 부자 수업 :4개의 통장으로 월 300만원 만들기,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,사회과학,False,1,False,0.8,0.751,0.595,0.595,0.476,False,9791168342941,9791191056372
모순 :양귀자 장편소설,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",문학,자연과학,True,1,False,0.9,0.529,0.529,0.529,0.476,False,9788998441012,9791189327156
우리가 작별 인사를 할 때마다,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",문학,자연과학,True,1,False,0.9,0.843,0.529,0.529,0.476,False,9788932475011,9791189327156
저스트. 킵. 바잉. :당신을 부자로 만들어줄 3개의 단어,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,사회과학,False,1,False,0.8,1.0,0.595,0.595,0.476,False,9791165345471,9791191056372
흔한남매,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,문학,예술,True,1,False,0.8,0.595,1.0,0.595,0.476,False,9791168418844,9791186494431
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,자연과학,총류,True,2,False,0.9,0.529,1.0,0.529,0.476,False,9791189327156,9791190313186
아버지의 해방일지 :정지아 장편소설,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,문학,철학,True,2,False,2.0,0.23,0.686,0.23,0.461,False,9788936438838,9791190538510
어른의 행복은 조용하다,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,문학,기술과학,True,2,False,1.1,0.42,0.751,0.42,0.461,False,9791169851053,9791198752406
아버지의 해방일지 :정지아 장편소설,불편한 편의점 :김호연 장편소설,문학,문학,False,2,False,2.0,0.23,0.334,0.23,0.461,False,9788936438838,9791161571379
흔한남매,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,문학,예술,True,2,False,1.0,0.457,1.0,0.457,0.457,False,9791168411685,9791198381811
"생각의 비밀 =김밥 파는 CEO, 부자의 탄생을 말하다 /Thoughts become things",돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,1,False,0.9,1.0,0.503,0.503,0.452,False,9788997287093,9791188331796
희랍어 시간 :한강 장편소설,작별하지 않는다 :한강 장편소설,문학,문학,False,2,False,1.4,0.843,0.322,0.322,0.451,False,9788954616515,9788954682152
스스로 해내는 아이의 비밀 :스탠퍼드대 박사 엄마의 뇌과학 컨설팅,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,기술과학,기술과학,False,1,False,0.6,1.0,0.751,0.751,0.451,False,9791198710444,9791198752406
"쇼펜하우어 지금, 이 순간을 즐겨라",당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,미상,철학,False,1,False,0.6,0.843,0.751,0.751,0.451,False,9791167090119,9791192625553
