ISBN,책,KDC,대분류,씨앗,out_degree,in_degree
9791166891496,하늘과 바람과 별과 인간 :원자에서 인간까지,4,자연과학,False,0,1
9791192389516,놀라움의 힘 :내 삶을 바꾸는 놀라움의 비밀,3,사회과학,False,0,1
9788947529457,이카루스 이야기 :생각을 깨우는 변화의 힘,3,사회과학,False,0,1
9788954648714,아홉번째 파도 :최은미 장편소설,,미상,False,0,1
9791193842157,데일리 대드 :철학자 아버지가 성찰하는 부모에게 전하는 365일 삶의 지혜,5,기술과학,False,0,1
9791164137435,에그박사 :Egg&bugs,4,자연과학,False,0,1
9788937441943,단순한 진심 :조해진 장편소설,,미상,False,0,1
9791164061471,(한 권으로 끝내는) 종이접기,,미상,False,0,1
9791164052356,(좌절내구력 강한 아이로 키우는) 조선미의 초등생활 상담소,5,기술과학,False,0,1
9788934950196,숙론 =어떻게 마주 앉아 대화할 것인가 /Discourse,8,문학,False,0,1
9791191347456,아들의 뇌 =딸로 태어난 엄마들을 위한 아들 사용 설명서 /Son's brain,5,기술과학,False,0,1
9791189922450,(잠들기 전에 읽는) 쇼펜하우어,1,철학,False,0,1
9788965708636,(천재인가 미치광이인가) 도파민형 인간,5,기술과학,False,0,1
9791158683054,(읽으면서 바로 써먹는) 어린이 공포의 수학 퍼즐,,미상,False,0,1
9788934940753,흔한남매 과학 탐험대 5 : 물리 1,,미상,False,0,1
9788901276571,더 마인드 =무의식이 이끄는 부의 해답 /The mind,3,사회과학,False,0,1
9788949121994,천하제일 치킨 쇼,8,문학,False,0,1
9788934988892,의외로 경기보다 재미있는 축구도감,,미상,False,0,1
9788934921325,"선생님, 있잖아요",8,문학,False,0,1
9788954699914,하얼빈 :김훈 장편소설,8,문학,False,0,1
9791158511081,마흔이 되기 전에,3,사회과학,False,0,1
9791158512132,내가 사랑한 화가들 :살면서 한 번은 꼭 들어야 할 아주 특별한 미술 수업,,미상,False,0,1
9791190409131,똥볶이 할멈 :K-히어로 판타지,8,문학,False,0,1
9788965913085,생각하는 야구 교과서 :어린이를 위한 야구의 모든 것,,미상,False,0,1
9791195026135,술 취한 코끼리 길들이기 :마음속 108마리 코끼리 이야기,2,종교,False,0,1
9788930280228,Why? sports 축구,,미상,False,0,1
9791185446349,10배의 법칙 :성공과 실패를 가르는 유일한 차이,3,사회과학,False,0,1
9791171179565,"정영진의 시대유감 :나는 고발한다, 당신의 뻔한 생각을",3,사회과학,False,0,1
9791192504216,백앤아 1 : 미스터리 100층 감옥 - 교양이 층층 쌓이는 점프 맵,,미상,False,0,1
9791130630366,30개 도시로 읽는 세계사 :세계 문명을 단숨에 독파하는 역사 이야기,,미상,False,0,1
9791193235119,마지막 마음이 들리는 공중전화 :이수연 장편소설,8,문학,False,0,1
9791190242202,(월드클래스 코리안 몬스터) 류현진이랑 야구하자!,,미상,False,0,1
9791168127876,80에도 뇌가 늙지 않는 사람은 이렇게 합니다 :뇌과학자가 알려주는 최강의 두뇌 건강 비법,5,기술과학,False,0,1
9788991071124,빨치산의 딸:정지아 장편소설,,미상,False,0,1
9791160943634,"(오, 필승!) 월드컵 축구 대백과",,미상,False,0,1
9788936448752,고양이 해결사 깜냥,8,문학,False,0,1
9788934930549,흔한남매 과학 탐험대 4 : 물질,,미상,False,0,1
9791164137121,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,4,자연과학,True,2,1
9791168414921,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,3,사회과학,False,0,1
9791165347734,연남동 빙굴빙굴 빨래방 :김지윤 장편소설,8,문학,False,0,1
9788954674638,5번 레인,8,문학,False,0,1
9791198517401,당신이 생각하는 모든 것을 믿지 말라,3,사회과학,False,0,1
9791191439472,거실육아 :엄마가 만드는 최초의 학군지,,미상,False,0,1
9791190007320,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,6,예술,True,24,1
9788936447403,아홉 살 내 사전 :나만의 사전 만들기,1,철학,False,0,1
9788965700869,인생에 변명하지 마라,,미상,False,0,1
9788947549363,히든 포텐셜 :성공을 이루는 숨은 잠재력의 과학,1,철학,False,0,1
9791130635712,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,,미상,False,0,1
9791168418424,(흔한남매) 별난 세계 여행,9,역사,False,0,1
9791172132477,이로운 보수 의로운 진보 :최강형제가 들려주는 최소한의 정치 교양,3,사회과학,False,0,1
9791192389073,유연함의 힘 :유연함으로 쓰는 새로운 성장 공식,3,사회과학,False,0,1
